AppID,Name,Release date,Peak CCU,Price,Positive,Negative,Average playtime forever
1345890,Deliver Us Mars,2023-02-02,703,29.99,295,101,0
2159730,The Forgotten Concluder,2023-04-26,649,34.99,280,53,0
1770080,Superfuse,2023-01-31,642,24.99,337,270,0
2207490,Factory Town Idle,2023-04-20,633,4.49,47,3,0
2127010,Handyman Legend,2023-03-09,633,6.29,0,0,0
1976950,Desktop Dungeons: Rewind,2023-04-18,574,16.99,260,44,58
1651560,Fabledom,2023-04-13,572,15.99,894,113,412
1546990,Grand Theft Auto: Vice City – The Definitive Edition,2023-01-19,569,29.99,151,69,499
2081400,Grim Guardians: Demon Purge,2023-02-23,562,22.49,226,77,0
2061430,Oxygen,2023-04-07,551,13.49,64,10,0
1924140,ISEKAI FRONTLINE,2023-03-16,550,3.59,0,0,90
1815570,Aces & Adventures,2023-02-23,548,15.99,136,13,0
1860510,Total Conflict: Resistance,2023-04-21,544,26.99,119,24,0
2061150,Ikki Unite,2023-02-14,533,7.19,235,82,0
1968840,Scarlet Maiden,2023-01-27,529,9.89,0,0,0
1122340,Chef Life: A Restaurant Simulator,2023-02-23,509,29.99,120,17,0
1571100,Passpartout 2: The Lost Artist,2023-04-04,491,19.99,201,11,0
1293460,Ash of Gods: The Way,2023-04-27,458,22.49,97,14,0
1036240,Definitely Not Fried Chicken,2023-01-18,455,21.24,160,50,0
1623940,Bramble: The Mountain King,2023-04-27,431,26.99,258,7,273
1493750,Evil Dead: The Game,2023-04-26,427,19.79,221,99,178
1266030,The Pale Beyond,2023-02-24,422,17.99,144,11,0
2014380,LIVE A LIVE,2023-04-27,413,39.99,48,4,4
2311680,Magic Research,2023-03-22,406,3.99,14,0,0
1947500,The Walking Dead: Saints & Sinners - Chapter 2: Retribution,2023-03-21,400,39.99,251,97,195
2285570,Immortal Seeker,2023-03-09,399,6.29,149,112,0
1824580,Dungeon Drafters,2023-04-27,395,24.99,143,41,0
1420350,Fraymakers,2023-01-18,369,19.99,309,128,0
1957780,Ghosts of Tabor,2023-03-20,368,19.99,465,87,0
2071200,The Bad Kids,2023-01-17,358,6.79,161,57,0
1624540,Storyteller,2023-03-23,353,13.49,524,201,0
1681060,Exogate Initiative,2023-04-18,331,20.69,62,25,0
2084940,Mysterious School,2023-02-16,324,6.39,80,32,0
1734390,The Pioneers: Surviving Desolation,2023-01-20,321,25.49,0,0,0
1644500,Masterplan Tycoon,2023-03-09,316,8.99,124,33,17
1583500,Eternal Dread 3,2023-03-10,315,13.49,44,7,0
2058750,Monster Energy Supercross - The Official Videogame 6,2023-03-09,312,49.99,29,22,0
1201270,A Space for the Unbound,2023-01-19,305,17.99,240,4,0
2139300,Redemption Reapers,2023-02-22,295,49.99,63,40,0
1717640,Mahokenshi,2023-01-24,290,22.49,121,33,0
1646850,SpaceBourne 2,2023-02-17,282,15.99,161,35,67
1835240,Spiritfall,2023-04-03,278,16.19,225,27,0
1932160,Neptunia: Sisters VS Sisters,2023-01-24,275,44.99,172,19,0
1710100,Bing in Wonderland,2023-01-12,269,8.09,318,9,31
1183800,Shardpunk: Verminfall,2023-04-13,265,11.99,254,13,0
1125710,Gatewalkers,2023-01-12,264,19.99,123,65,0
1883800,The Magical Mixture Mill,2023-04-05,261,15.99,43,8,0
2003050,Perseus: Titan Slayer,2023-02-13,261,7.19,189,46,0
1498740,Troublemaker,2023-03-31,257,15.99,236,12,0
695330,SEASON: A letter to the future,2023-01-31,253,22.49,358,16,0
1775530,Artemis: Book One,2023-04-28,251,8.49,0,0,0
2120320,Wayhaven Chronicles: Book Three,2023-04-06,248,7.91,31,11,0
844980,I Am Your President,2023-02-27,244,13.49,68,35,0
1343810,Fallen Hero: Retribution,2023-02-02,244,7.91,95,2,0
1839880,King Of The Castle,2023-03-02,243,4.99,141,12,5
1108000,Children of Silentown,2023-01-11,241,17.99,145,17,0
1463780,Mohism: Battle of Words,2023-04-17,238,8.99,212,29,259
2307120,Lovelorn sanatorium Ⅲ,2023-03-11,235,7.19,333,72,0
1195420,Filthy Animals | Heist Simulator,2023-04-04,234,15.99,69,11,0
1214670,Mr. Sun's Hatbox,2023-04-20,226,13.49,60,10,0
1148490,Second Front,2023-01-31,225,29.74,159,47,0
1091920,Plantera 2: Golden Acorn,2023-04-12,224,4.99,400,17,310
